	NCBI Sequence ID	NCBI Sequence Accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class
797	OXA-856	WP_001021774.1	OXA-856	WP_001021774.1	beta-lactam	OXA-856	WP_001021774.1	carbapenem/cephalosporin/penam
798	OXA-68	WP_001021775.1	OXA-68	WP_001021775.1	carbapenem	OXA-68	AAW81339.1	carbapenem/cephalosporin/penam
799	OXA-91	WP_001021776.1	OXA-91	WP_001021776.1	carbapenem	OXA-91	ABF47914.1	carbapenem/cephalosporin/penam
800	OXA-98	WP_001021777.1	OXA-98	WP_001021777.1	carbapenem	OXA-98	CAK50801.1	carbapenem/cephalosporin/penam
801	OXA-317	WP_001021778.1	OXA-317	WP_001021778.1	carbapenem	OXA-317	AGU69255.1	carbapenem/cephalosporin/penam
802	OXA-69	WP_001021779.1	OXA-69	WP_001021779.1	carbapenem	OXA-69	CAM86994.1	carbapenem/cephalosporin/penam
803	OXA-208	WP_001021780.1	OXA-208	WP_001021780.1	carbapenem	OXA-208	CCA94644.1	carbapenem/cephalosporin/penam
804	OXA-90	WP_001021781.1	OXA-90	WP_001021781.1	carbapenem	OXA-90	CAJ77809.1	carbapenem/cephalosporin/penam
805	OXA-65	WP_001021782.1	OXA-65	WP_001021782.1	carbapenem	OXA-65	AAW81337.1	carbapenem/cephalosporin/penam
806	OXA-180	WP_001021783.1	OXA-180	WP_001021783.1	carbapenem	OXA-180	ADM26745.1	carbapenem/cephalosporin/penam
807	OXA-259	WP_001021784.1	OXA-259	WP_001021784.1	carbapenem	OXA-259	AGV04655.1	carbapenem/cephalosporin/penam
808	OXA-71	WP_001021785.1	OXA-71	WP_001021785.1	carbapenem	OXA-71	AAW81342.1	carbapenem/cephalosporin/penam
809	OXA-113	WP_001021786.1	OXA-113	WP_001021786.1	carbapenem	OXA-113	ABW70410.1	carbapenem/cephalosporin/penam
810	OXA-312	WP_001021787.1	OXA-312	WP_001021787.1	carbapenem	OXA-312	AGU69250.1	carbapenem/cephalosporin/penam
811	OXA-64	WP_001021788.1	OXA-64	WP_001021788.1	carbapenem	OXA-64	AAW81336.1	carbapenem/cephalosporin/penam
812	OXA-402	WP_001021789.1	OXA-402	WP_001021789.1	carbapenem	OXA-402	AIS39035.1	carbapenem/cephalosporin/penam
813	OXA-66	WP_001021792.1	OXA-66	WP_001021792.1	carbapenem	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam
814	OXA-82	WP_001021793.1	OXA-82	WP_001021793.1	carbapenem	OXA-82	ABV71248.1	carbapenem/cephalosporin/penam
815	OXA-109	WP_001021794.1	OXA-109	WP_001021794.1	carbapenem	OXA-109	ABV31689.1	carbapenem/cephalosporin/penam
816	OXA-100	WP_001021795.1	OXA-100	WP_001021795.1	carbapenem	OXA-100	CAJ77817.2	carbapenem/cephalosporin/penam
817	OXA-242	WP_001022756.1	OXA-242	WP_001022756.1	carbapenem	OXA-242	AFO55202.1	carbapenem/cephalosporin/penam
818	OXA-976	WP_001022757.1	OXA-976	WP_001022757.1	beta-lactam	OXA-51	CAC83905.2	carbapenem/cephalosporin/monobactam/penam
819	OXA-223	WP_001022758.1	OXA-223	WP_001022758.1	carbapenem	OXA-223	AEL88491.1	carbapenem/cephalosporin/penam
820	OXA-75	WP_001025292.1	OXA-75	WP_001025292.1	carbapenem	OXA-75	CAP01453.1	carbapenem/cephalosporin/penam
821	OXA-23	WP_001046004.1	OXA-23	WP_001046004.1	carbapenem	OXA-23	AAV65289.1	carbapenem/cephalosporin/penam
822	OXA-1	WP_001334766.1	OXA-1	WP_001334766.1	cephalosporin	OXA-1	AFB82783.1	carbapenem/cephalosporin/penam
823	OXA-58	WP_002002480.1	OXA-58	WP_002002480.1	carbapenem	OXA-58	ACC58995.1	carbapenem/cephalosporin/penam
824	OXA-51	WP_002033109.1	OXA-51	WP_002033109.1	carbapenem	OXA-51	CAC83905.2	carbapenem/cephalosporin/monobactam/penam
825	OXA-126	WP_002047441.1	OXA-126	WP_002047441.1	carbapenem	OXA-126	ABX45065.1	carbapenem/cephalosporin/penam
826	OXA-117	WP_002057397.1	OXA-117	WP_002057397.1	carbapenem	OXA-117	ACV49885.1	carbapenem/cephalosporin/penam
827	OXA-500	WP_002121386.1	OXA-500	WP_002121386.1	carbapenem	OXA-500	WP_002121386.1	carbapenem/cephalosporin/penam
828	OXA-263	WP_002133528.1	OXA-263	WP_002133528.1	carbapenem	OXA-263	ENW43915.1	carbapenem/cephalosporin/penam
829	OXA-193	WP_002783228.1	OXA-193	WP_002783228.1	beta-lactam	OXA-193	WP_002783228.1	carbapenem/cephalosporin/penam
830	OXA-460	WP_002788004.1	OXA-460	WP_002788004.1	beta-lactam	OXA-460	ATL95930.1	carbapenem/cephalosporin/penam
831	OXA-489	WP_002791310.1	OXA-489	WP_002791310.1	beta-lactam	OXA-489	WP_002791310.1	carbapenem/cephalosporin/penam
832	OXA-578	WP_002812372.1	OXA-578	WP_002812372.1	beta-lactam	OXA-578	WP_002812372.1	carbapenem/cephalosporin/penam
833	OXA-595	WP_002824679.1	OXA-595	WP_002824679.1	beta-lactam	OXA-595	WP_002824679.1	carbapenem/cephalosporin/penam
834	OXA-579	WP_002837769.1	OXA-579	WP_002837769.1	beta-lactam	OXA-579	WP_002837769.1	carbapenem/cephalosporin/penam
835	OXA-592	WP_002857546.1	OXA-592	WP_002857546.1	beta-lactam	OXA-592	WP_002857546.1	carbapenem/cephalosporin/penam
836	OXA-61	WP_002872036.1	OXA-61	WP_002872036.1	beta-lactam	OXA-61	AAT01092.1	carbapenem/cephalosporin/penam
837	OXA-184	WP_002872405.1	OXA-184	WP_002872405.1	beta-lactam	OXA-184	AFO09968.1	carbapenem/cephalosporin/penam
838	OXA-591	WP_002889704.1	OXA-591	WP_002889704.1	beta-lactam	OXA-591	WP_002889704.1	carbapenem/cephalosporin/penam
839	OXA-449	WP_002893358.1	OXA-449	WP_002893358.1	beta-lactam	OXA-449	AKI29910.1	carbapenem/cephalosporin/penam
840	OXA-447	WP_002934081.1	OXA-447	WP_002934081.1	beta-lactam	OXA-447	AKI29908.1	carbapenem/cephalosporin/penam
841	OXA-623	WP_002936877.1	OXA-623	WP_002936877.1	beta-lactam	OXA-623	WP_002936877.1	carbapenem/cephalosporin/penam
842	OXA-488	WP_003097028.1	OXA-488	WP_003097028.1	beta-lactam	OXA-488	TKV86805.1	carbapenem/cephalosporin/penam
843	OXA-50	WP_003099707.1	OXA-50	WP_003099707.1	beta-lactam	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam
844	OXA-494	WP_003118452.1	OXA-494	WP_003118452.1	beta-lactam	OXA-494	WP_003118452.1	carbapenem/cephalosporin/penam
845	OXA-904	WP_003122322.1	OXA-904	WP_003122322.1	beta-lactam	OXA-904	WP_003122322.1	carbapenem/cephalosporin/penam
846	OXA-905	WP_003161096.1	OXA-905	WP_003161096.1	beta-lactam	OXA-905	WP_003161096.1	carbapenem/cephalosporin/penam
847	OXA-486	WP_003161965.1	OXA-486	WP_003161965.1	beta-lactam	OXA-486	QBY97442.1	carbapenem/cephalosporin/penam
848	OXA-268	WP_003651390.1	OXA-268	WP_003651390.1	carbapenem	OXA-268	ENU09033.1	carbapenem/cephalosporin/penam
849	OXA-347	WP_004295324.1	OXA-347	WP_004295324.1	beta-lactam	OXA-347	AET35493.1	carbapenem/cephalosporin/penam
850	OXA-59	WP_004524931.1	OXA-59	WP_004524931.1	beta-lactam	OXA-59	CAG15145.1	carbapenem/cephalosporin/penam
851	OXA-57	WP_004547230.1	OXA-57	WP_004547230.1	beta-lactam	OXA-57	CAF74882.1	carbapenem/cephalosporin/penam
852	OXA-936	WP_004641493.1	OXA-936	WP_004641493.1	beta-lactam	OXA-264	ENW20318.1	carbapenem/cephalosporin/penam
853	OXA-283	WP_004647119.1	OXA-283	WP_004647119.1	carbapenem	OXA-283	ENU15301.1	carbapenem/cephalosporin/penam
854	OXA-296	WP_004650739.1	OXA-296	WP_004650739.1	beta-lactam	OXA-296	ENU21024.1	carbapenem/cephalosporin/penam
855	OXA-286	WP_004657207.1	OXA-286	WP_004657207.1	carbapenem	OXA-286	ENU21708.1	carbapenem/cephalosporin/penam
856	OXA-279	WP_004683508.1	OXA-279	WP_004683508.1	beta-lactam	OXA-279	ENU35234.1	carbapenem/cephalosporin/penam
857	OXA-281	WP_004697403.1	OXA-281	WP_004697403.1	carbapenem	OXA-281	ENU38533.1	carbapenem/cephalosporin/penam
858	OXA-260	WP_004715243.1	OXA-260	WP_004715243.1	carbapenem	OXA-260	ENU54757.1	carbapenem/cephalosporin/penam
859	OXA-274	WP_004725235.1	OXA-274	WP_004725235.1	carbapenem	OXA-274	EPH38243.1	carbapenem/cephalosporin/penam
860	OXA-282	WP_004728961.1	OXA-282	WP_004728961.1	carbapenem	OXA-282	EKE23052.1	carbapenem/cephalosporin/penam
861	OXA-120	WP_004738885.1	OXA-120	WP_004738885.1	carbapenem	OXA-120	CCJ32595.1	carbapenem/cephalosporin/penam
862	OXA-294	WP_004776204.1	OXA-294	WP_004776204.1	beta-lactam	OXA-294	ENU93232.1	carbapenem/cephalosporin/penam
863	OXA-305	WP_004792810.1	OXA-305	WP_004792810.1	carbapenem	OXA-305	ENV02983.1	carbapenem/cephalosporin/penam
864	OXA-276	WP_004814035.1	OXA-276	WP_004814035.1	carbapenem	OXA-276	ENV13583.1	carbapenem/cephalosporin/penam
865	OXA-275	WP_004816501.1	OXA-275	WP_004816501.1	carbapenem	OXA-275	ENV18923.1	carbapenem/cephalosporin/penam
866	OXA-300	WP_004825629.1	OXA-300	WP_004825629.1	carbapenem	OXA-300	ENV20093.1	carbapenem/cephalosporin/penam
867	OXA-308	WP_004867933.1	OXA-308	WP_004867933.1	beta-lactam	OXA-308	ENV32314.1	carbapenem/cephalosporin/penam
868	OXA-266	WP_004878009.1	OXA-266	WP_004878009.1	beta-lactam	OXA-266	ENV38192.1	carbapenem/cephalosporin/penam
869	OXA-277	WP_004897444.1	OXA-277	WP_004897444.1	carbapenem	OXA-277	ENV45890.1	carbapenem/cephalosporin/penam
870	OXA-280	WP_004977701.1	OXA-280	WP_004977701.1	carbapenem	OXA-280	ENV74419.1	carbapenem/cephalosporin/penam
871	OXA-299	WP_005011312.1	OXA-299	WP_005011312.1	beta-lactam	OXA-299	ENV82218.1	carbapenem/cephalosporin/penam
872	OXA-103	WP_005025422.1	OXA-103	WP_005025422.1	carbapenem	OXA-103	ENV88740.1	carbapenem/cephalosporin/penam
873	OXA-301	WP_005034514.1	OXA-301	WP_005034514.1	carbapenem	OXA-301	ENV90372.1	carbapenem/cephalosporin/penam
874	OXA-267	WP_005041180.1	OXA-267	WP_005041180.1	carbapenem	OXA-267	ENV93423.1	carbapenem/cephalosporin/penam
875	OXA-213	WP_005047495.1	OXA-213	WP_005047495.1	carbapenem	OXA-213	AEV91552.1	carbapenem/cephalosporin/penam
876	OXA-273	WP_005069609.1	OXA-273	WP_005069609.1	carbapenem	OXA-273	ENW12288.1	carbapenem/cephalosporin/penam
877	OXA-272	WP_005076320.1	OXA-272	WP_005076320.1	carbapenem	OXA-272	ENW16915.1	carbapenem/cephalosporin/penam
878	OXA-264	WP_005087154.1	OXA-264	WP_005087154.1	carbapenem	OXA-264	ENW20318.1	carbapenem/cephalosporin/penam
879	OXA-265	WP_005088661.1	OXA-265	WP_005088661.1	carbapenem	OXA-265	RFX69805.1	carbapenem/cephalosporin/penam
880	OXA-134	WP_005104969.1	OXA-134	WP_005104969.1	carbapenem	OXA-134	ADM47435.1	carbapenem/cephalosporin/penam
881	OXA-261	WP_005111033.1	OXA-261	WP_005111033.1	carbapenem	OXA-261	ENW35072.1	carbapenem/cephalosporin/penam
882	OXA-128	WP_005120067.1	OXA-128	WP_005120067.1	carbapenem	OXA-128	ABY77907.1	carbapenem/cephalosporin/penam
883	OXA-262	WP_005132156.1	OXA-262	WP_005132156.1	carbapenem	OXA-262	ENW50687.1	carbapenem/cephalosporin/penam
884	OXA-78	WP_005139262.1	OXA-78	WP_005139262.1	carbapenem	OXA-78	AAW81358.1	carbapenem/cephalosporin/penam
885	OXA-291	WP_005185807.1	OXA-291	WP_005185807.1	carbapenem	OXA-291	ENW94121.1	carbapenem/cephalosporin/penam
886	OXA-288	WP_005201559.1	OXA-288	WP_005201559.1	carbapenem	OXA-288	ENX60508.1	carbapenem/cephalosporin/penam
887	OXA-292	WP_005209448.1	OXA-292	WP_005209448.1	carbapenem	OXA-292	ENX53612.1	carbapenem/cephalosporin/penam
888	OXA-278	WP_005220450.1	OXA-278	WP_005220450.1	carbapenem	OXA-278	AGI65307.1	carbapenem/cephalosporin/penam
889	OXA-297	WP_005227858.1	OXA-297	WP_005227858.1	beta-lactam	OXA-297	ENX09209.1	carbapenem/cephalosporin/penam
890	OXA-302	WP_005238189.1	OXA-302	WP_005238189.1	carbapenem	OXA-302	ENX18112.1	carbapenem/cephalosporin/penam
891	OXA-284	WP_005245537.1	OXA-284	WP_005245537.1	carbapenem	OXA-284	ENX16434.1	carbapenem/cephalosporin/penam
892	OXA-295	WP_005260134.1	OXA-295	WP_005260134.1	beta-lactam	OXA-295	ENX19403.1	carbapenem/cephalosporin/penam
893	OXA-285	WP_005268230.1	OXA-285	WP_005268230.1	carbapenem	OXA-285	ENX26326.1	carbapenem/cephalosporin/penam
894	OXA-298	WP_005282462.1	OXA-298	WP_005282462.1	beta-lactam	OXA-298	ENX40034.1	carbapenem/cephalosporin/penam
895	OXA-306	WP_005297518.1	OXA-306	WP_005297518.1	carbapenem	OXA-306	ENX38336.1	carbapenem/cephalosporin/penam
896	OXA-304	WP_005304617.1	OXA-304	WP_005304617.1	carbapenem	OXA-304	ENX45276.1	carbapenem/cephalosporin/penam
897	OXA-303	WP_005317413.1	OXA-303	WP_005317413.1	carbapenem	OXA-303	ENX56371.1	carbapenem/cephalosporin/penam
898	OXA-813	WP_005404206.1	OXA-813	WP_005404206.1	carbapenem	OXA-813	WP_005404206.1	carbapenem/cephalosporin/penam
899	OXA-966	WP_005405099.1	OXA-966	WP_005405099.1	carbapenem	OXA-816	WP_026444036.1	carbapenem/cephalosporin/penam
900	OXA-814	WP_005405613.1	OXA-814	WP_005405613.1	carbapenem	OXA-814	WP_005405613.1	carbapenem/cephalosporin/penam
901	OXA-114b	WP_006384924.1	OXA-114b	WP_006384924.1	beta-lactam	OXA-114b	WP_006384924.1	carbapenem/cephalosporin/penam
902	OXA-243	WP_006391197.1	OXA-243	WP_006391197.1	beta-lactam	OXA-243	AFQ90085.1	carbapenem/cephalosporin/penam
903	OXA-919	WP_007879679.1	OXA-919	WP_007879679.1	beta-lactam	OXA-919	WP_007879679.1	carbapenem/cephalosporin/penam
904	OXA-214	WP_008942158.1	OXA-214	WP_008942158.1	carbapenem	OXA-214	AEV91553.1	carbapenem/cephalosporin/penam
905	OXA-847	WP_010793618.1	OXA-847	WP_010793618.1	beta-lactam	OXA-847	WP_010793618.1	carbapenem/cephalosporin/penam
906	OXA-54	WP_011071128.1	OXA-54	WP_011071128.1	carbapenem	OXA-54	AAR89917.1	carbapenem/cephalosporin/penam
907	OXA-725	WP_011707905.1	OXA-725	WP_011707905.1	beta-lactam	OXA-726	WP_101150415.1	carbapenem/cephalosporin/penam
908	OXA-1091	WP_012045014.1	OXA-1091	WP_012045014.1	beta-lactam			
909	OXA-493	WP_012662081.1	OXA-493	WP_012662081.1	beta-lactam	OXA-493	WP_012662081.1	carbapenem/cephalosporin/penam
910	OXA-24	WP_012754353.1	OXA-24	WP_012754353.1	carbapenem	OXA-24	AAM34291.1	carbapenem/cephalosporin/monobactam/penam
911	OXA-136	WP_013244277.1	OXA-136	WP_013244277.1	beta-lactam	OXA-136	ABW76134.1	carbapenem/cephalosporin/penam
912	OXA-209	WP_014053563.1	OXA-209	WP_014053563.1	beta-lactam	OXA-209	AEM66528.1	carbapenem/cephalosporin/penam
913	OXA-642	WP_014206564.1	OXA-642	WP_014206564.1	carbapenem	OXA-642	WP_014206564.1	carbapenem/cephalosporin/penam
914	OXA-21	WP_014386432.1	OXA-21	WP_014386432.1	beta-lactam	OXA-21	CAA71699.2	carbapenem/cephalosporin/penam
915	OXA-256	WP_014454104.1	OXA-256	WP_014454104.1	beta-lactam	OXA-256	CCE94500.1	carbapenem/cephalosporin/penam
916	OXA-851	WP_014603442.1	OXA-851	WP_014603442.1	beta-lactam	OXA-851	WP_014603442.1	carbapenem/cephalosporin/penam
917	OXA-29	WP_014845076.1	OXA-29	WP_014845076.1	beta-lactam	OXA-29	CAC35728.1	carbapenem/cephalosporin/penam
918	OXA-137	WP_014932145.1	OXA-137	WP_014932145.1	beta-lactam	OXA-137	ABW76138.1	carbapenem/cephalosporin/penam
919	OXA-1099	WP_014936873.1	OXA-1099	WP_014936873.1	beta-lactam	OXA-136	ABW76134.1	carbapenem/cephalosporin/penam
920	OXA-48	WP_015059991.1	OXA-48	WP_015059991.1	carbapenem	OXA-48	AAP70012.1	carbapenem/cephalosporin/penam
921	OXA-181	WP_015060052.1	OXA-181	WP_015060052.1	carbapenem	OXA-181	AEP16366.1	carbapenem/cephalosporin/penam
922	OXA-395	WP_015649877.1	OXA-395	WP_015649877.1	beta-lactam	OXA-395	WP_015649877.1	carbapenem/cephalosporin/penam
923	OXA-269	WP_016138346.1	OXA-269	WP_016138346.1	carbapenem	OXA-269	EOQ63861.1	carbapenem/cephalosporin/penam
924	OXA-270	WP_016141238.1	OXA-270	WP_016141238.1	carbapenem	OXA-270	EOQ69512.1	carbapenem/cephalosporin/penam
925	OXA-271	WP_016145058.1	OXA-271	WP_016145058.1	carbapenem	OXA-271	EOQ72432.1	carbapenem/cephalosporin/penam
926	OXA-673	WP_016162389.1	OXA-673	WP_016162389.1	carbapenem	OXA-673	WP_016162389.1	carbapenem/cephalosporin/penam
927	OXA-670	WP_016651348.1	OXA-670	WP_016651348.1	carbapenem	OXA-670	WP_016651348.1	carbapenem/cephalosporin/penam
928	OXA-665	WP_016657654.1	OXA-665	WP_016657654.1	carbapenem	OXA-665	EPF70268.1	carbapenem/cephalosporin/penam
929	OXA-715	WP_016685888.1	OXA-715	WP_016685888.1	beta-lactam	OXA-715	WP_016685888.1	carbapenem/cephalosporin/penam
930	OXA-396	WP_016852290.1	OXA-396	WP_016852290.1	beta-lactam	OXA-396	WP_016852290.1	carbapenem/cephalosporin/penam
931	OXA-1028	WP_017002439.1	OXA-1028	WP_017002439.1	beta-lactam	OXA-903	WP_164461291.1	carbapenem/cephalosporin/penam
932	OXA-421	WP_017386798.1	OXA-421	WP_017386798.1	carbapenem	OXA-421	AIZ00987.1	carbapenem/cephalosporin/penam
933	OXA-99	WP_017816859.1	OXA-99	WP_017816859.1	carbapenem	OXA-99	ABI53716.1	carbapenem/cephalosporin/penam
934	OXA-1026	WP_019396295.1	OXA-1026	WP_019396295.1	beta-lactam	OXA-494	WP_003118452.1	carbapenem/cephalosporin/penam
935	OXA-848	WP_019485147.1	OXA-848	WP_019485147.1	beta-lactam	OXA-848	WP_019485147.1	carbapenem/cephalosporin/penam
936	OXA-452	WP_020836977.1	OXA-452	WP_020836977.1	beta-lactam	OXA-452	AKI29917.1	carbapenem/cephalosporin/penam
937	OXA-491	WP_020848173.1	OXA-491	WP_020848173.1	beta-lactam	OXA-491	WP_020848173.1	carbapenem/cephalosporin/penam
938	OXA-956	WP_021139936.1	OXA-956	WP_021139936.1	beta-lactam			
939	OXA-1035	WP_023096365.1	OXA-1035	WP_023096365.1	beta-lactam	OXA-846	QEJ80883.1	carbapenem/cephalosporin/penam
940	OXA-1030	WP_023097100.1	OXA-1030	WP_023097100.1	beta-lactam	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam
941	OXA-1032	WP_023107469.1	OXA-1032	WP_023107469.1	beta-lactam	OXA-395	WP_015649877.1	carbapenem/cephalosporin/penam
942	OXA-1127	WP_023122435.1	OXA-1127	WP_023122435.1	beta-lactam	OXA-851	WP_014603442.1	carbapenem/cephalosporin/penam
943	OXA-914	WP_023132404.1	OXA-914	WP_023132404.1	beta-lactam	OXA-914	WP_023132404.1	carbapenem/cephalosporin/penam
944	OXA-672	WP_023271137.1	OXA-672	WP_023271137.1	carbapenem	OXA-672	WP_023271137.1	carbapenem/cephalosporin/penam
945	OXA-114f	WP_024069684.1	OXA-114f	WP_024069684.1	beta-lactam	OXA-114f	WP_024069684.1	carbapenem/cephalosporin/penam
946	OXA-104	WP_024433915.1	OXA-104	WP_024433915.1	carbapenem	OXA-104	ABQ52429.1	carbapenem/cephalosporin/penam
947	OXA-383	WP_024438993.1	OXA-383	WP_024438993.1	carbapenem	OXA-383	AHL30281.1	carbapenem/cephalosporin/penam
948	OXA-902	WP_024916334.1	OXA-902	WP_024916334.1	beta-lactam	OXA-902	WP_024916334.1	carbapenem/cephalosporin/penam
949	OXA-580	WP_025006557.1	OXA-580	WP_025006557.1	beta-lactam	OXA-580	WP_025006557.1	carbapenem/cephalosporin/penam
950	OXA-964	WP_025889747.1	OXA-964	WP_025889747.1	beta-lactam	OXA-729	WP_114699266.1	carbapenem/cephalosporin/penam
951	OXA-114i	WP_026382828.1	OXA-114i	WP_026382828.1	beta-lactam	OXA-114i	WP_026382828.1	carbapenem/cephalosporin/penam
952	OXA-816	WP_026444036.1	OXA-816	WP_026444036.1	carbapenem	OXA-816	WP_026444036.1	carbapenem/cephalosporin/penam
953	OXA-950	WP_029305121.1	OXA-950	WP_029305121.1	beta-lactam	OXA-726	WP_101150415.1	carbapenem/cephalosporin/penam
954	OXA-94	WP_029424390.1	OXA-94	WP_029424390.1	carbapenem	OXA-94	ABF47917.1	carbapenem/cephalosporin/penam
955	OXA-913	WP_031691948.1	OXA-913	WP_031691948.1	beta-lactam	OXA-913	WP_031691948.1	carbapenem/cephalosporin/penam
956	OXA-908	WP_031694184.1	OXA-908	WP_031694184.1	beta-lactam	OXA-908	WP_031694184.1	carbapenem/cephalosporin/penam
957	OXA-901	WP_031757092.1	OXA-901	WP_031757092.1	beta-lactam	OXA-901	WP_031757092.1	carbapenem/cephalosporin/penam
958	OXA-95	WP_031960432.1	OXA-95	WP_031960432.1	carbapenem	OXA-95	ABF47918.1	carbapenem/cephalosporin/penam
959	OXA-106	WP_031963705.1	OXA-106	WP_031963705.1	carbapenem	OXA-106	ABV31686.1	carbapenem/cephalosporin/penam
960	OXA-314	WP_031976872.1	OXA-314	WP_031976872.1	carbapenem	OXA-314	AGU69252.1	carbapenem/cephalosporin/penam
961	OXA-217	WP_031978611.1	OXA-217	WP_031978611.1	carbapenem	OXA-217	AEO44980.1	carbapenem/cephalosporin/penam
962	OXA-716	WP_031998610.1	OXA-716	WP_031998610.1	beta-lactam	OXA-716	WP_031998610.1	carbapenem/cephalosporin/penam
963	OXA-70	WP_032000166.1	OXA-70	WP_032000166.1	carbapenem	OXA-70	AAW81341.1	carbapenem/cephalosporin/penam
964	OXA-502	WP_032003497.1	OXA-502	WP_032003497.1	carbapenem	OXA-502	WP_032003497.1	carbapenem/cephalosporin/penam
965	OXA-506	WP_032007272.1	OXA-506	WP_032007272.1	carbapenem	OXA-506	WP_032007272.1	carbapenem/cephalosporin/penam
966	OXA-717	WP_032018141.1	OXA-717	WP_032018141.1	beta-lactam	OXA-717	WP_032018141.1	carbapenem/cephalosporin/penam
967	OXA-337	WP_032025569.1	OXA-337	WP_032025569.1	carbapenem	OXA-337	RIL13772.1	carbapenem/cephalosporin/penam
968	OXA-132	WP_032030965.1	OXA-132	WP_032030965.1	carbapenem	OXA-132	ACD84990.1	carbapenem/cephalosporin/penam
969	OXA-441	WP_032037742.1	OXA-441	WP_032037742.1	carbapenem	OXA-441	AFZ84684.1	carbapenem/cephalosporin/penam
970	OXA-374	WP_032051604.1	OXA-374	WP_032051604.1	carbapenem	OXA-374	AHL30274.1	carbapenem/cephalosporin/penam
971	OXA-819	WP_032053762.1	OXA-819	WP_032053762.1	beta-lactam	OXA-819	WP_032053762.1	carbapenem/cephalosporin/penam
972	OXA-820	WP_032057042.1	OXA-820	WP_032057042.1	beta-lactam	OXA-820	WP_032057042.1	carbapenem/cephalosporin/penam
973	OXA-378	WP_032058439.1	OXA-378	WP_032058439.1	carbapenem	OXA-378	AHL30278.1	carbapenem/cephalosporin/penam
974	OXA-855	WP_032061328.1	OXA-855	WP_032061328.1	beta-lactam	OXA-855	WP_032061328.1	carbapenem/cephalosporin/penam
975	OXA-663	WP_032410229.1	OXA-663	WP_032410229.1	beta-lactam	OXA-663	OWG16436.1	carbapenem/cephalosporin/penam
976	OXA-5	WP_032488483.1	OXA-5	WP_032488483.1	beta-lactam	OXA-5	CAA41211.1	carbapenem/cephalosporin/penam
977	OXA-28	WP_032489753.1	OXA-28	WP_032489753.1	cephalosporin	OXA-28	AAF72942.1	carbapenem/cephalosporin/penam
978	OXA-31	WP_032490053.1	OXA-31	WP_032490053.1	cephalosporin	OXA-31	AAK52604.1	carbapenem/cephalosporin/penam
979	OXA-119	WP_032490445.1	OXA-119	WP_032490445.1	beta-lactam	OXA-119	AAN41427.1	carbapenem/cephalosporin/penam
980	OXA-392	WP_032490448.1	OXA-392	WP_032490448.1	beta-lactam	OXA-392	AAN41430.1	carbapenem/cephalosporin/penam
981	OXA-45	WP_032490761.1	OXA-45	WP_032490761.1	cephalosporin	OXA-45	CAD58780.1	carbapenem/cephalosporin/penam
982	OXA-4	WP_032491311.1	OXA-4	WP_032491311.1	beta-lactam	OXA-4	AET05998.1	carbapenem/cephalosporin/penam
983	OXA-87	WP_032491656.1	OXA-87	WP_032491656.1	carbapenem	OXA-87	ABC84263.1	carbapenem/cephalosporin/penam
984	OXA-17	WP_032491804.1	OXA-17	WP_032491804.1	cephalosporin	OXA-17	ABI63579.1	carbapenem/cephalosporin/penam
985	OXA-129	WP_032492122.1	OXA-129	WP_032492122.1	beta-lactam	OXA-129	CAP69660.1	carbapenem/cephalosporin/penam
986	OXA-204	WP_032495449.1	OXA-204	WP_032495449.1	carbapenem	OXA-204	AFU91598.1	carbapenem/cephalosporin/penam
987	OXA-244	WP_032495517.1	OXA-244	WP_032495517.1	carbapenem	OXA-244	AGC60012.1	carbapenem/cephalosporin/penam
988	OXA-245	WP_032495518.1	OXA-245	WP_032495518.1	carbapenem	OXA-245	AGC60013.1	carbapenem/cephalosporin/penam
989	OXA-247	WP_032495595.1	OXA-247	WP_032495595.1	carbapenem	OXA-247	AGC70814.1	carbapenem/cephalosporin/penam
990	OXA-253	WP_032495764.1	OXA-253	WP_032495764.1	carbapenem	OXA-253	AGK07368.1	carbapenem/cephalosporin/penam
991	OXA-370	WP_032495789.1	OXA-370	WP_032495789.1	carbapenem	OXA-370	AHF71363.1	carbapenem/cephalosporin/penam
992	OXA-85	WP_032835180.1	OXA-85	WP_032835180.1	beta-lactam	OXA-85	AAP69916.1	carbapenem/cephalosporin/penam
993	OXA-287	WP_032865068.1	OXA-287	WP_032865068.1	carbapenem	OXA-287	WP_032865068.1	carbapenem/cephalosporin/penam
994	OXA-293	WP_032877719.1	OXA-293	WP_032877719.1	carbapenem	OXA-293	WP_032877719.1	carbapenem/cephalosporin/penam
995	OXA-307	WP_032879257.1	OXA-307	WP_032879257.1	carbapenem	OXA-307	WP_032879257.1	carbapenem/cephalosporin/penam
996	OXA-254	WP_033841866.1	OXA-254	WP_033841866.1	carbapenem	OXA-254	BAN10684.1	carbapenem/cephalosporin/penam
997	OXA-1034	WP_033887259.1	OXA-1034	WP_033887259.1	beta-lactam	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam
