Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
1028106240|WP_063861191.1|1|1|blaOXA-175|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-175	blaOXA-175	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-175	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861191.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-175	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106263|WP_063861208.1|1|1|blaOXA-176|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-176	blaOXA-176	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-176	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861208.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-176	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106268|WP_063861213.1|1|1|blaOXA-177|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-177	blaOXA-177	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-177	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861213.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-177	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106278|WP_063861221.1|1|1|blaOXA-178|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-178	blaOXA-178	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-178	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861221.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-178	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106288|WP_063861229.1|1|1|blaOXA-179|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-179	blaOXA-179	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-179	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861229.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-179	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106296|WP_063861237.1|1|1|blaOXA-18|blaOXA-PR|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_D_beta-lactamase_OXA-18	blaOXA-18	extended-spectrum class D beta-lactamase OXA-18	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063861237.1	extended-spectrum class D beta-lactamase OXA-18	NF000270.1	class D beta-lactamase
1028106336|WP_063861266.1|1|1|blaOXA-182|blaOXA-143_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-182	blaOXA-182	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-182	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063861266.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-182	NF000464.2	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
1028106347|WP_063861272.1|1|1|blaOXA-183|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-183	blaOXA-183	OXA-10 family class D beta-lactamase OXA-183	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063861272.1	OXA-10 family class D beta-lactamase OXA-183	NF000386.2	OXA-10 family class D beta-lactamase
1028106376|WP_063861300.1|1|1|blaOXA-185|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-185	blaOXA-185	OXA-184 family class D beta-lactamase OXA-185	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	248	248	100.00	100.00	248	WP_063861300.1	OXA-184 family class D beta-lactamase OXA-185	NF000461.2	OXA-184 family class D beta-lactamase
1028106385|WP_063861309.1|1|1|blaOXA-19|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_extended-spectrum_class_D_beta-lactamase_OXA-19	blaOXA-19	OXA-10 family extended-spectrum class D beta-lactamase OXA-19	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063861309.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-19	NF000386.2	OXA-10 family class D beta-lactamase
1028106392|WP_063861316.1|1|1|blaOXA-192|blaOXA-63_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-63_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-192	blaOXA-192	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-192	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	269	269	100.00	100.00	269	WP_063861316.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-192	NF000429.2	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
1028106551|WP_063861475.1|1|1|blaOXA-194|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-194	blaOXA-194	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-194	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861475.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-194	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106558|WP_063861482.1|1|1|blaOXA-195|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-195	blaOXA-195	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-195	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861482.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-195	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106562|WP_063861486.1|1|1|blaOXA-196|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-196	blaOXA-196	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-196	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861486.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-196	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106566|WP_063861490.1|1|1|blaOXA-197|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-197	blaOXA-197	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-197	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861490.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-197	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106581|WP_063861505.1|1|1|blaOXA-199|blaOXA-48_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-48_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-199	blaOXA-199	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-199	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	265	265	100.00	100.00	265	WP_063861505.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-199	NF000387.2	OXA-48 family class D beta-lactamase
1028106623|WP_063861547.1|1|1|blaOXA-200|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-200	blaOXA-200	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-200	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861547.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-200	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106629|WP_063861553.1|1|1|blaOXA-201|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-201	blaOXA-201	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-201	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861553.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-201	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106636|WP_063861560.1|1|1|blaOXA-202|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-202	blaOXA-202	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-202	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861560.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-202	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106643|WP_063861567.1|1|1|blaOXA-203|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-203	blaOXA-203	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-203	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861567.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-203	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106664|WP_063861588.1|1|1|blaOXA-205|blaOXA-46_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-46_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-205	blaOXA-205	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-205	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063861588.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-205	NF033104.0	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
1028106668|WP_063861592.1|1|1|blaOXA-206|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-206	blaOXA-206	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-206	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861592.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-206	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106725|WP_063861649.1|1|1|blaOXA-210|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-210	blaOXA-210	OXA-2 family class D beta-lactamase OXA-210	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_063861649.1	OXA-2 family class D beta-lactamase OXA-210	NF000267.2	OXA-2 family class D beta-lactamase
1028106742|WP_063861666.1|1|1|blaOXA-211|blaOXA-211_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-211	blaOXA-211	carbapenem-hydrolyzing class D beta-lactamase OXA-211	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861666.1	carbapenem-hydrolyzing class D beta-lactamase OXA-211	NF000417.2	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
1028106753|WP_063861677.1|1|1|blaOXA-212|blaOXA-211_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-212	blaOXA-212	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-212	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861677.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-212	NF000417.2	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
1028106788|WP_063861712.1|1|1|blaOXA-215|blaOXA-214_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-214_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-215	blaOXA-215	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-215	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063861712.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-215	NF000418.2	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
1028106809|WP_063861733.1|1|1|blaOXA-216|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-216	blaOXA-216	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-216	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861733.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-216	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106841|WP_063861765.1|1|1|blaOXA-219|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-219	blaOXA-219	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-219	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861765.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-219	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106852|WP_063861776.1|1|1|blaOXA-22|blaOXA-22_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|benzylpenicillin-hydrolyzing_class_D_beta-lactamase_OXA-22	blaOXA-22	benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_063861776.1	benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22	NF033509.1	OXA-22 family class D beta-lactamase
1028106888|WP_063861812.1|1|1|blaOXA-224|blaOXA-1_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-1_family_class_D_beta-lactamase_OXA-224	blaOXA-224	OXA-1 family class D beta-lactamase OXA-224	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_063861812.1	OXA-1 family class D beta-lactamase OXA-224	NF000388.2	OXA-1 family class D beta-lactamase
1028106897|WP_063861820.1|1|1|blaOXA-225|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-225	blaOXA-225	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-225	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861820.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-225	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106903|WP_063861826.1|1|1|blaOXA-226|blaOXA-2_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-2_family_extended-spectrum_class_D_beta-lactamase_OXA-226	blaOXA-226	OXA-2 family extended-spectrum class D beta-lactamase OXA-226	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063861826.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-226	NF000267.2	OXA-2 family class D beta-lactamase
1028106915|WP_063861837.1|1|1|blaOXA-228|blaOXA-229_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-228	blaOXA-228	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-228	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063861837.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-228	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
1028106918|WP_063861840.1|1|1|blaOXA-229|blaOXA-229_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-229	blaOXA-229	carbapenem-hydrolyzing class D beta-lactamase OXA-229	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063861840.1	carbapenem-hydrolyzing class D beta-lactamase OXA-229	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
1028107256|WP_063862119.1|1|1|blaOXA-230|blaOXA-229_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-230	blaOXA-230	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-230	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862119.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-230	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
1028107265|WP_063862128.1|1|1|blaOXA-231|blaOXA-143_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-231	blaOXA-231	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-231	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862128.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-231	NF000464.2	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
1028107286|WP_063862149.1|1|1|blaOXA-233|blaOXA-10_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-10_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-233	blaOXA-233	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase OXA-233	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	266	266	100.00	100.00	266	WP_063862149.1	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase OXA-233	NF000386.2	OXA-10 family class D beta-lactamase
1028107307|WP_063862170.1|1|1|blaOXA-236|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-236	blaOXA-236	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-236	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862170.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-236	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
1028107327|WP_063862190.1|1|1|blaOXA-239|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-239	blaOXA-239	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-239	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862190.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-239	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028107411|WP_063862274.1|1|1|blaOXA-240|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-240	blaOXA-240	OXA-10 family class D beta-lactamase OXA-240	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063862274.1	OXA-10 family class D beta-lactamase OXA-240	NF000386.2	OXA-10 family class D beta-lactamase
1028107531|WP_063862394.1|1|1|blaOXA-246|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-246	blaOXA-246	OXA-10 family class D beta-lactamase OXA-246	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063862394.1	OXA-10 family class D beta-lactamase OXA-246	NF000386.2	OXA-10 family class D beta-lactamase
1028107539|WP_063862402.1|1|1|blaOXA-248|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-248	blaOXA-248	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-248	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862402.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-248	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028107545|WP_063862408.1|1|1|blaOXA-249|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-249	blaOXA-249	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-249	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862408.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-249	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028107553|WP_063862416.1|1|1|blaOXA-25|blaOXA-24_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-24_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-25	blaOXA-25	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862416.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
1028107557|WP_063862420.1|1|1|blaOXA-250|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-250	blaOXA-250	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-250	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862420.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-250	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028107567|WP_063862430.1|1|1|blaOXA-251|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-251	blaOXA-251	OXA-10 family class D beta-lactamase OXA-251	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063862430.1	OXA-10 family class D beta-lactamase OXA-251	NF000386.2	OXA-10 family class D beta-lactamase
1028107578|WP_063862440.1|1|1|blaOXA-255|blaOXA-143_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-255	blaOXA-255	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-255	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862440.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-255	NF000464.2	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
1028107598|WP_063862441.1|1|1|blaOXA-257|blaOXA-229_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-257	blaOXA-257	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-257	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862441.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-257	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
1028107604|WP_063862442.1|1|1|blaOXA-26|blaOXA-24_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-24_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-26	blaOXA-26	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-26	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862442.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-26	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
1028107639|WP_063862443.1|1|1|blaOXA-27|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-27	blaOXA-27	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-27	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862443.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-27	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
