allele,gene_family,refseq_protein_accession,refseq_nucleotide_accession,genbank_protein_accession,genbank_nucleotide_accession,product_name,enhanced_subclass,fasta_header,acc
blaOXA-1046,blaOXA,WP_240067727.1,WP_240067727.1,UHO07581.1,OL901270.1,OXA-10 family class D beta-lactamase OXA-1046,Beta-lactamase (unknown spectrum),2201559186|WP_240067727.1|1|1|blaOXA-1046|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1046,WP_240067727.1
blaOXA-1053,blaOXA,WP_240067732.1,WP_240067732.1,BDD79959.1,LC664104.1,OXA-10 family class D beta-lactamase OXA-1053,Beta-lactamase (unknown spectrum),2201559191|WP_240067732.1|1|1|blaOXA-1053|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1053,WP_240067732.1
blaOXA-1086,blaOXA,WP_242934105.1,WP_242934105.1,ULU82664.1,OM643280.1,OXA-10 family class D beta-lactamase OXA-1086,Beta-lactamase (unknown spectrum),2214661666|WP_242934105.1|1|1|blaOXA-1086|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1086,WP_242934105.1
blaOXA-1087,blaOXA,WP_256875608.1,WP_256875608.1,UTS94245.1,ON651492.1,OXA-10 family class D beta-lactamase OXA-1087,Beta-lactamase (unknown spectrum),2282573672|WP_256875608.1|1|1|blaOXA-1087|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1087,WP_256875608.1
blaOXA-1120,blaOXA,WP_256875610.1,WP_256875610.1,USC31971.1,ON721379.1,OXA-10 family class D beta-lactamase OXA-1120,Beta-lactamase (unknown spectrum),2282573674|WP_256875610.1|1|1|blaOXA-1120|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1120,WP_256875610.1
blaOXA-183,blaOXA,WP_063861272.1,WP_063861272.1,ADV41666.1,HQ111474.1,OXA-10 family class D beta-lactamase OXA-183,Beta-lactamase (unknown spectrum),gb|ADV41666.1|ARO:3001475|OXA-183 [Pseudomonas aeruginosa] ,ADV41666.1
blaOXA-240,blaOXA,WP_063862274.1,WP_063862274.1,AFN20670.1,JX089628.1,OXA-10 family class D beta-lactamase OXA-240,Beta-lactamase (unknown spectrum),gb|AFN20670.1|ARO:3001499|OXA-240 [Pseudomonas aeruginosa] ,AFN20670.1
blaOXA-246,blaOXA,WP_063862394.1,WP_063862394.1,AHC31001.1,KF711993.1,OXA-10 family class D beta-lactamase OXA-246,Beta-lactamase (unknown spectrum),gb|AHC31001.1|ARO:3001807|OXA-246 [Pseudomonas aeruginosa] ,AHC31001.1
blaOXA-251,blaOXA,WP_063862430.1,WP_063862430.1,AER57903.1,JN118546.1,OXA-10 family class D beta-lactamase OXA-251,Beta-lactamase (unknown spectrum),gb|AER57903.1|ARO:3001500|OXA-251 [Pseudomonas aeruginosa] ,AER57903.1
blaOXA-256,blaOXA,WP_014454104.1,WP_014454104.1,CCE94500.1,HE616889.1,OXA-10 family class D beta-lactamase OXA-256,Beta-lactamase (unknown spectrum),gb|CCE94500.1|ARO:3001502|OXA-256 [Enterobacter cloacae] ,CCE94500.1
blaOXA-368,blaOXA,WP_099156044.1,WP_099156044.1,AMB19637.1,KT736121.1,OXA-10 family class D beta-lactamase OXA-368,Beta-lactamase (unknown spectrum),gb|AMB19637.1|ARO:3001555|OXA-368 [Aeromonas sobria] ,AMB19637.1
blaOXA-454,blaOXA,WP_063864086.1,WP_063864086.1,BAR45714.1,LC037981.1,OXA-10 family class D beta-lactamase OXA-454,Beta-lactamase (unknown spectrum),gb|BAR45714.1|ARO:3003610|OXA-454 [Delftia acidovorans] ,BAR45714.1
blaOXA-520,blaOXA,WP_065159014.1,WP_065159014.1,ANM44758.1,KX388630.1,OXA-10 family class D beta-lactamase OXA-520,Beta-lactamase (unknown spectrum),gb|WP_065159014.1|ARO:3005750|OXA-520 [Pseudomonas aeruginosa] ,WP_065159014.1
blaOXA-655,blaOXA,WP_122630842.1,WP_122630842.1,AWS00754.1,MH384610.1,OXA-10 family class D beta-lactamase OXA-655,Carbapenemase,gb|WP_122630842.1|ARO:3005870|OXA-655 [Escherichia coli] ,WP_122630842.1
blaOXA-656,blaOXA,WP_122630843.1,WP_122630843.1,AWS00755.1,MH384611.1,OXA-10 family class D beta-lactamase OXA-656,Beta-lactamase (unknown spectrum),gb|WP_122630843.1|ARO:3005871|OXA-656 [Enterobacter cloacae] ,WP_122630843.1
blaOXA-663,blaOXA,WP_032410229.1,WP_032410229.1,OWG16436.1,JCMW02000002.1,OXA-10 family class D beta-lactamase OXA-663,Beta-lactamase (unknown spectrum),gb|OWG16436.1|ARO:3004489|OXA-663 [Klebsiella pneumoniae BIDMC 35] ,OWG16436.1
blaOXA-677,blaOXA,WP_122630859.1,WP_122630859.1,AXQ11890.1,MH780098.1,OXA-10 family class D beta-lactamase OXA-677,Beta-lactamase (unknown spectrum),gb|WP_122630859.1|ARO:3005885|OXA-677 [Pseudomonas aeruginosa] ,WP_122630859.1
blaOXA-74,blaOXA,WP_063864532.1,WP_063864532.1,CAH69530.1,AJ854182.1,OXA-10 family class D beta-lactamase OXA-74,Beta-lactamase (unknown spectrum),gb|CAH69530.1|ARO:3001798|OXA-74 [Pseudomonas aeruginosa] ,CAH69530.1
blaOXA-794,blaOXA,WP_136512086.1,WP_136512086.1,QBC36178.1,MK482719.1,OXA-10 family class D beta-lactamase OXA-794,Beta-lactamase (unknown spectrum),gb|WP_136512086.1|ARO:3005994|OXA-794 [Pseudomonas aeruginosa] ,WP_136512086.1
blaOXA-795,blaOXA,WP_136512087.1,WP_136512087.1,QBC36179.1,MK482720.1,OXA-10 family class D beta-lactamase OXA-795,Beta-lactamase (unknown spectrum),gb|WP_136512087.1|ARO:3005995|OXA-795 [Pseudomonas aeruginosa] ,WP_136512087.1
blaOXA-823,blaOXA,WP_136512103.1,WP_136512103.1,QBZ67150.1,MK750000.1,OXA-10 family class D beta-lactamase OXA-823,Beta-lactamase (unknown spectrum),gb|WP_136512103.1|ARO:3006021|OXA-823 [Pseudomonas aeruginosa] ,WP_136512103.1
blaOXA-824,blaOXA,WP_136512104.1,WP_136512104.1,QBZ67151.1,MK750001.1,OXA-10 family class D beta-lactamase OXA-824,Beta-lactamase (unknown spectrum),gb|WP_136512104.1|ARO:3006022|OXA-824 [Pseudomonas aeruginosa] ,WP_136512104.1
blaOXA-827,blaOXA,WP_140423320.1,WP_140423320.1,QCF61856.1,MK840577.1,OXA-10 family class D beta-lactamase OXA-827,Beta-lactamase (unknown spectrum),gb|WP_140423320.1|ARO:3006024|OXA-827 [Pseudomonas aeruginosa] ,WP_140423320.1
blaOXA-836,blaOXA,WP_148044423.1,WP_148044423.1,QDO71691.1,MN186038.1,OXA-10 family class D beta-lactamase OXA-836,Beta-lactamase (unknown spectrum),gb|WP_148044423.1|ARO:3006032|OXA-836 [Pseudomonas aeruginosa] ,WP_148044423.1
blaOXA-928,blaOXA,WP_188331877.1,WP_188331877.1,QNH80866.1,MT891151.1,OXA-10 family class D beta-lactamase OXA-928,Beta-lactamase (unknown spectrum),gb|WP_188331877.1|ARO:3006113|OXA-928 [Pseudomonas aeruginosa] ,WP_188331877.1
blaOXA-932,blaOXA,WP_121331722.1,WP_121331722.1,QOC63222.1,MW021506.1,OXA-10 family class D beta-lactamase OXA-932,Beta-lactamase (unknown spectrum),gb|WP_121331722.1|ARO:3006115|OXA-932 [Raoultella ornithinolytica] ,WP_121331722.1
blaOXA-11,blaOXA,WP_063860939.1,WP_063860939.1,CAA80304.1,Z22590.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-11,ESBL,gb|CAA80304.1|ARO:3001406|OXA-11 [Pseudomonas aeruginosa] ,CAA80304.1
blaOXA-14,blaOXA,WP_064056056.1,WP_064056056.1,AHX74209.1,KJ420612.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-14,ESBL,gb|AHX74209.1|ARO:3001409|OXA-14 [Pseudomonas aeruginosa] ,AHX74209.1
blaOXA-142,blaOXA,WP_063861041.1,WP_063861041.1,ABY79006.1,EU358785.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-142,ESBL,gb|ABY79006.1|ARO:3001803|OXA-142 [Pseudomonas aeruginosa] ,ABY79006.1
blaOXA-145,blaOXA,WP_063861043.1,WP_063861043.1,ACN85419.1,FJ790516.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-145,ESBL,gb|ACN85419.1|ARO:3001804|OXA-145 [Pseudomonas aeruginosa] ,ACN85419.1
blaOXA-147,blaOXA,WP_063861045.1,WP_063861045.1,ACO72579.1,FJ848783.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-147,ESBL,gb|ACO72579.1|ARO:3001801|OXA-147 [Pseudomonas aeruginosa] ,ACO72579.1
blaOXA-17,blaOXA,WP_032491804.1,WP_032491804.1,ABI63579.1,DQ902344.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-17,ESBL,gb|ABI63579.1|ARO:3001412|OXA-17 [Klebsiella pneumoniae] ,ABI63579.1
blaOXA-19,blaOXA,WP_063861309.1,WP_063861309.1,AAD02245.1,AF043381.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-19,ESBL,gb|AAD02245.1|ARO:3001414|OXA-19 [Pseudomonas aeruginosa] ,AAD02245.1
blaOXA-28,blaOXA,WP_032489753.1,WP_032489753.1,AAF72942.1,AF231133.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-28,ESBL,gb|AAF72942.1|ARO:3001423|OXA-28 [Pseudomonas aeruginosa] ,AAF72942.1
blaOXA-35,blaOXA,WP_063862720.1,WP_063862720.1,AAK49460.1,AF315786.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-35,ESBL,gb|AAK49460.1|ARO:3001429|OXA-35 [Pseudomonas aeruginosa] ,AAK49460.1
blaOXA-676,blaOXA,WP_122630858.1,WP_122630858.1,AXQ11889.1,MH780097.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-676,Beta-lactamase (unknown spectrum),gb|WP_122630858.1|ARO:3005884|OXA-676 [Pseudomonas aeruginosa] ,WP_122630858.1
blaOXA-736,blaOXA,WP_122630855.1,WP_122630855.1,AXQ11886.1,MH780094.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-736,Beta-lactamase (unknown spectrum),"gb|WP_122630855.1|ARO:3005941|OXA-736 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_122630855.1
blaOXA-935,blaOXA,WP_141989064.1,WP_141989064.1,UBI73554.1,CP083367.1,OXA-10 family extended-spectrum class D beta-lactamase OXA-935,Beta-lactamase (unknown spectrum),gb|WP_141989064.1|ARO:3006116|OXA-935 [Pseudomonas aeruginosa] ,WP_141989064.1
blaOXA-13,blaOXA,WP_063861035.1,WP_063861035.1,AAC46344.1,U59183.1,OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-13,ESBL,gb|AAC46344.1|ARO:3001408|OXA-13 [Pseudomonas aeruginosa] ,AAC46344.1
blaOXA-56,blaOXA,WP_063864264.1,WP_063864264.1,AAR32651.1,AY445080.1,OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-56,Beta-lactamase (not ESBL or carbapenemase),gb|AAR32651.1|ARO:3001795|OXA-56 [Pseudomonas aeruginosa] ,AAR32651.1
blaOXA-7,blaOXA,WP_063864530.1,WP_063864530.1,CAA53242.1,X75562.1,OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-7,Beta-lactamase (not ESBL or carbapenemase),gb|CAA53242.1|ARO:3001402|OXA-7 [Escherichia coli] ,CAA53242.1
blaOXA-790,blaOXA,WP_213994595.1,WP_213994595.1,QBC36167.1,MK388911.1,OXA-114 family class D beta-lactamase OXA-790,Beta-lactamase (unknown spectrum),2045802572|WP_213994595.1|1|1|blaOXA-790|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-114_family_class_D_beta-lactamase_OXA-790,WP_213994595.1
blaOXA-791,blaOXA,WP_213994596.1,WP_213994596.1,QBC36168.1,MK388912.1,OXA-114 family class D beta-lactamase OXA-791,Beta-lactamase (unknown spectrum),2045802573|WP_213994596.1|1|1|blaOXA-791|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-114_family_class_D_beta-lactamase_OXA-791,WP_213994596.1
blaOXA-839,blaOXA,WP_150823471.1,WP_150823471.1,QEJ74005.1,MN339508.1,OXA-114 family class D beta-lactamase OXA-839,Beta-lactamase (unknown spectrum),gb|WP_150823471.1|ARO:3006033|OXA-839 [Achromobacter xylosoxidans] ,WP_150823471.1
blaOXA-724,blaOXA,WP_077096319.1,WP_077096319.1,CAB76928.1,AJ276031.1,OXA-12 family class D beta-lactamase AmpH/OXA-724,Beta-lactamase (unknown spectrum),gb|CAB76928.1|ARO:3004837|OXA-724 [Aeromonas hydrophila] ,CAB76928.1
blaOXA-726,blaOXA,WP_101150415.1,WP_101150415.1,PKD23169.1,LSZC01000019.1,OXA-12 family class D beta-lactamase OXA-726,Beta-lactamase (unknown spectrum),gb|WP_101150415.1|ARO:3005931|OXA-726 [Aeromonas hydrophila] ,WP_101150415.1
blaOXA-912,blaOXA,WP_040068451.1,WP_040068451.1,QIM14705.1,MT135194.1,OXA-12 family class D beta-lactamase OXA-912,Beta-lactamase (unknown spectrum),gb|WP_040068451.1|ARO:3006099|OXA-912 [Aeromonas] ,WP_040068451.1
blaOXA-951,blaOXA,WP_213994597.1,WP_213994597.1,BCT36861.1,LC610789.1,OXA-12 family class D beta-lactamase OXA-951,Beta-lactamase (unknown spectrum),2045802574|WP_213994597.1|1|1|blaOXA-951|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-951,WP_213994597.1
blaOXA-958,blaOXA,WP_058052637.1,WP_058052637.1,QVO43823.1,MZ092816.1,OXA-12 family class D beta-lactamase OXA-958,Beta-lactamase (unknown spectrum),953819019|WP_058052637.1|1|1|blaOXA-958|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-958,WP_058052637.1
blaOXA-1005,blaOXA,WP_163170629.1,WP_163170629.1,QWA20205.1,MZ265758.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-1005,Carbapenemase,1816027138|WP_163170629.1|1|1|blaOXA-1005|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1005,WP_163170629.1
blaOXA-235,blaOXA,WP_000854009.1,WP_000854009.1,AFH36330.1,JQ820240.2,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235,Carbapenemase,gb|AFH36330.1|ARO:3001676|OXA-235 [Acinetobacter baumannii] ,AFH36330.1
blaOXA-236,blaOXA,WP_063862170.1,WP_063862170.1,AFH36332.1,JQ820242.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-236,Carbapenemase,gb|AFH36332.1|ARO:3001677|OXA-236 [Acinetobacter baumannii] ,AFH36332.1
blaOXA-237,blaOXA,WP_000854010.1,WP_000854010.1,AFH36331.1,JQ820241.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-237,Carbapenemase,gb|AFH36331.1|ARO:3001678|OXA-237 [Acinetobacter baumannii] ,AFH36331.1
blaOXA-276,blaOXA,WP_004814035.1,WP_004814035.1,ENV13583.1,APPI01000013.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-276,Carbapenemase,gb|ENV13583.1|ARO:3001732|OXA-276 [Acinetobacter schindleri NIPH 900] ,ENV13583.1
blaOXA-277,blaOXA,WP_004897444.1,WP_004897444.1,ENV45890.1,APPQ01000011.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-277,Carbapenemase,gb|ENV45890.1|ARO:3001733|OXA-277 [Acinetobacter schindleri CIP 107287] ,ENV45890.1
blaOXA-278,blaOXA,WP_005220450.1,WP_005220450.1,AGI65307.1,KC771279.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-278,Carbapenemase,gb|AGI65307.1|ARO:3001681|OXA-278 [Acinetobacter schindleri] ,AGI65307.1
blaOXA-283,blaOXA,WP_004647119.1,WP_004647119.1,ENU15301.1,APOG01000008.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-283,Carbapenemase,gb|ENU15301.1|ARO:3001738|OXA-283 [Acinetobacter sp. CIP A162] ,ENU15301.1
blaOXA-284,blaOXA,WP_005245537.1,WP_005245537.1,ENX16434.1,APRU01000004.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284,Carbapenemase,gb|ENX16434.1|ARO:3001739|OXA-284 [Acinetobacter sp. CIP 51.11] ,ENX16434.1
blaOXA-285,blaOXA,WP_005268230.1,WP_005268230.1,ENX26326.1,APRY01000059.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-285,Carbapenemase,gb|ENX26326.1|ARO:3001740|OXA-285 [Acinetobacter sp. CIP 64.7] ,ENX26326.1
blaOXA-335,blaOXA,WP_063862702.1,WP_063862702.1,AGW16417.1,KF203109.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-335,Carbapenemase,gb|AGW16417.1|ARO:3001523|OXA-335 [Acinetobacter lwoffii] ,AGW16417.1
blaOXA-360,blaOXA,WP_048880934.1,WP_048880934.1,AGZ83156.1,KF421163.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-360,Carbapenemase,gb|AGZ83156.1|ARO:3001547|OXA-360 [Acinetobacter schindleri] ,AGZ83156.1
blaOXA-361,blaOXA,WP_063862731.1,WP_063862731.1,AHA11124.1,KF460531.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-361,Carbapenemase,gb|AHA11124.1|ARO:3001548|OXA-361 [Acinetobacter lwoffii] ,AHA11124.1
blaOXA-362,blaOXA,WP_063862732.1,WP_063862732.1,AHA11125.1,KF460532.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-362,Carbapenemase,gb|AHA11125.1|ARO:3001549|OXA-362 [Acinetobacter lwoffii] ,AHA11125.1
blaOXA-363,blaOXA,WP_063862733.1,WP_063862733.1,AHA11126.1,KF460533.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-363,Carbapenemase,gb|AHA11126.1|ARO:3001550|OXA-363 [Acinetobacter lwoffii] ,AHA11126.1
blaOXA-496,blaOXA,WP_064483990.1,WP_064483990.1,ALM26450.1,KT200608.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-496,Carbapenemase,gb|WP_064483990.1|ARO:3005335|OXA-496 [Acinetobacter lwoffii] ,WP_064483990.1
blaOXA-537,blaOXA,WP_070064536.1,WP_070064536.1,AOS48097.1,KX360747.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-537,Carbapenemase,gb|WP_070064536.1|ARO:3005766|OXA-537 [Acinetobacter schindleri] ,WP_070064536.1
blaOXA-646,blaOXA,WP_039902635.1,WP_039902635.1,AWB15829.1,MH188855.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-646,Carbapenemase,gb|WP_039902635.1|ARO:3005339|OXA-646 [Acinetobacter lwoffii] ,WP_039902635.1
blaOXA-647,blaOXA,WP_140423315.1,WP_140423315.1,AWB15830.1,MH188856.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-647,Carbapenemase,gb|WP_140423315.1|ARO:3005337|OXA-647 [Acinetobacter lwoffii] ,WP_140423315.1
blaOXA-648,blaOXA,WP_140423316.1,WP_140423316.1,AWB15831.1,MH188857.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-648,Carbapenemase,gb|WP_140423316.1|ARO:3005338|OXA-648 [Acinetobacter lwoffii] ,WP_140423316.1
blaOXA-915,blaOXA,WP_168370988.1,WP_168370988.1,BCD52723.1,LC537318.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-915,Carbapenemase,gb|WP_168370988.1|ARO:3005336|OXA-915 [Acinetobacter lwoffii] ,WP_168370988.1
blaOXA-991,blaOXA,WP_231869616.1,WP_231869616.1,QWA20190.1,MZ265743.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-991,Carbapenemase,2165384354|WP_231869616.1|1|1|blaOXA-991|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-991,WP_231869616.1
blaOXA-1139,blaOXA,WP_256875621.1,WP_256875621.1,UTS94248.1,ON651495.1,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-1139,Carbapenemase,2282573685|WP_256875621.1|1|1|blaOXA-1139|blaOXA-143_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1139,WP_256875621.1
blaOXA-182,blaOXA,WP_063861266.1,WP_063861266.1,ADK92148.1,HM640278.2,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-182,Carbapenemase,gb|ADK92148.1|ARO:3001709|OXA-182 [Acinetobacter baumannii] ,ADK92148.1
blaOXA-231,blaOXA,WP_063862128.1,WP_063862128.1,AFG29918.1,JQ326200.2,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-231,Carbapenemase,gb|AFG29918.1|ARO:3001670|OXA-231 [Acinetobacter baumannii] ,AFG29918.1
blaOXA-253,blaOXA,WP_032495764.1,WP_032495764.1,AGK07368.1,KC479324.2,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-253,Carbapenemase,gb|AGK07368.1|ARO:3001689|OXA-253 [Acinetobacter baumannii] ,AGK07368.1
blaOXA-255,blaOXA,WP_063862440.1,WP_063862440.1,AGK07369.1,KC479325.2,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-255,Carbapenemase,gb|AGK07369.1|ARO:3001690|OXA-255 [Acinetobacter pittii] ,AGK07369.1
blaOXA-499,blaOXA,WP_063864112.1,WP_063864112.1,ALM96709.1,KT964029.1,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-499,Carbapenemase,gb|WP_063864112.1|ARO:3005343|OXA-499 [Acinetobacter pittii] ,WP_063864112.1
blaOXA-649,blaOXA,WP_109545071.1,WP_109545071.1,AWA42529.1,MH211242.1,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-649,Carbapenemase,gb|WP_109545071.1|ARO:3005340|OXA-649 [Acinetobacter bereziniae] ,WP_109545071.1
blaOXA-825,blaOXA,WP_140423318.1,WP_140423318.1,QCE31561.1,MK807021.1,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-825,Carbapenemase,gb|WP_140423318.1|ARO:3005344|OXA-825 [Acinetobacter baumannii] ,WP_140423318.1
blaOXA-945,blaOXA,WP_204376235.1,WP_204376235.1,QQY97506.1,MW527086.1,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-945,Carbapenemase,gb|WP_204376235.1|ARO:3006124|OXA-945 [Acinetobacter bereziniae] ,WP_204376235.1
blaOXA-184,blaOXA,WP_002872405.1,WP_002872405.1,AFO09968.1,JQ396378.1,OXA-184 family class D beta-lactamase OXA-184,Beta-lactamase (unknown spectrum),gb|AFO09968.1|ARO:3001476|OXA-184 [Campylobacter jejuni] ,AFO09968.1
blaOXA-185,blaOXA,WP_063861300.1,WP_063861300.1,AFO09969.1,JQ396379.1,OXA-184 family class D beta-lactamase OXA-185,Beta-lactamase (unknown spectrum),gb|AFO09969.1|ARO:3001477|OXA-185 [Campylobacter jejuni] ,AFO09969.1
blaOXA-446,blaOXA,WP_063864084.1,WP_063864084.1,AKI29907.1,KR061495.1,OXA-184 family class D beta-lactamase OXA-446,Beta-lactamase (unknown spectrum),gb|AKI29907.1|ARO:3003602|OXA-446 [Campylobacter jejuni] ,AKI29907.1
blaOXA-447,blaOXA,WP_002934081.1,WP_002934081.1,AKI29908.1,KR061496.1,OXA-184 family class D beta-lactamase OXA-447,Beta-lactamase (unknown spectrum),gb|AKI29908.1|ARO:3003603|OXA-447 [Campylobacter jejuni] ,AKI29908.1
blaOXA-448,blaOXA,WP_063864085.1,WP_063864085.1,AKI29909.1,KR061497.1,OXA-184 family class D beta-lactamase OXA-448,Beta-lactamase (unknown spectrum),gb|AKI29909.1|ARO:3003604|OXA-448 [Campylobacter jejuni] ,AKI29909.1
blaOXA-449,blaOXA,WP_002893358.1,WP_002893358.1,AKI29910.1,KR061498.1,OXA-184 family class D beta-lactamase OXA-449,Beta-lactamase (unknown spectrum),gb|AKI29910.1|ARO:3003605|OXA-449 [Campylobacter jejuni] ,AKI29910.1
blaOXA-465,blaOXA,WP_052793969.1,WP_052793969.1,AKI29912.1,KR061500.1,OXA-184 family class D beta-lactamase OXA-465,Beta-lactamase (unknown spectrum),gb|AKI29912.1|ARO:3003621|OXA-465 [Campylobacter jejuni] ,AKI29912.1
blaOXA-466,blaOXA,WP_063864091.1,WP_063864091.1,AKI29913.1,KR061501.1,OXA-184 family class D beta-lactamase OXA-466,Beta-lactamase (unknown spectrum),gb|AKI29913.1|ARO:3003622|OXA-466 [Campylobacter jejuni] ,AKI29913.1
blaOXA-613,blaOXA,WP_109545111.1,WP_109545111.1,AWD39723.1,MH085568.1,OXA-184 family class D beta-lactamase OXA-613,Beta-lactamase (unknown spectrum),gb|WP_109545111.1|ARO:3005834|OXA-613 [Campylobacter jejuni] ,WP_109545111.1
blaOXA-614,blaOXA,WP_070233680.1,WP_070233680.1,AWD39722.1,MH085567.1,OXA-184 family class D beta-lactamase OXA-614,Beta-lactamase (unknown spectrum),gb|WP_070233680.1|ARO:3005835|OXA-614 [Campylobacter] ,WP_070233680.1
blaOXA-615,blaOXA,WP_109545115.1,WP_109545115.1,AWD39728.1,MH085574.1,OXA-184 family class D beta-lactamase OXA-615,Beta-lactamase (unknown spectrum),gb|WP_109545115.1|ARO:3005836|OXA-615 [Campylobacter jejuni] ,WP_109545115.1
blaOXA-616,blaOXA,WP_109545110.1,WP_109545110.1,AWD39721.1,MH085566.1,OXA-184 family class D beta-lactamase OXA-616,Beta-lactamase (unknown spectrum),gb|WP_109545110.1|ARO:3005837|OXA-616 [Campylobacter jejuni] ,WP_109545110.1
blaOXA-617,blaOXA,WP_109545114.1,WP_109545114.1,AWD39726.1,MH085571.1,OXA-184 family class D beta-lactamase OXA-617,Beta-lactamase (unknown spectrum),gb|WP_109545114.1|ARO:3005838|OXA-617 [Campylobacter jejuni] ,WP_109545114.1
blaOXA-618,blaOXA,WP_109545113.1,WP_109545113.1,AWD39725.1,MH085570.1,OXA-184 family class D beta-lactamase OXA-618,Beta-lactamase (unknown spectrum),gb|WP_109545113.1|ARO:3005839|OXA-618 [Campylobacter jejuni] ,WP_109545113.1
blaOXA-619,blaOXA,WP_109545075.1,WP_109545075.1,AWD39663.1,MH085498.1,OXA-184 family class D beta-lactamase OXA-619,Beta-lactamase (unknown spectrum),gb|WP_109545075.1|ARO:3005840|OXA-619 [Campylobacter jejuni] ,WP_109545075.1
blaOXA-620,blaOXA,WP_109545076.1,WP_109545076.1,AWD39664.1,MH085499.1,OXA-184 family class D beta-lactamase OXA-620,Beta-lactamase (unknown spectrum),gb|WP_109545076.1|ARO:3005841|OXA-620 [Campylobacter jejuni] ,WP_109545076.1
